"<span class=thead>Предмет</span>";"<span class=thead>Задание на 2-6 марта 2015</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физика ";"Гончаренко § 60, Рымкевич № 1069-1074"
"Экология ";"написать мини-сочинение по теме ""Круговорот веществ на суше и в воде"" (описать скорость явления, группу важных веществ и т.д., описанное в соотв. параграфе)"
"Укр. лит.";"готувати біографію та твори Вінграновського, доздати вірші"
"Химия ";"учебник §24 №207-212; готовиться к практической работе по уксусной кислоте"
"Алгебра ";"учебник № 26.5(3-5), 26.7, 26.8"
"Геометрия ";"учебник №542, 546, 551, готовиться к самостоятельной работе по цилиндру"
"Русский язык";"написать сочинение по типу ЗНО (учебник упр. 92)"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Человек и мир";"не задано"
"Всемирная История";"внешняя политика Италии во второй половине XX века"
"Физкультура ";"не задано"
"Химия ";"учебник §24 № 216"
"Английский ";"SBp. 122-123 ex. 1-3, WBp. 68-69, SBp. 65 ex. 8,9"
"Мир.лит. ";"готовить презентации, сдавать стихи, готовиться к контрольной"
"Физика ";"конспект, Гончаренко § 61-64, Гельфгат № 7.36, 7.40, сборник ДПА № 15В16-15В20, подготовиться к контрольной работе"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"не задано"
"История Украины";"Народний Рух України, Чорновіл"
"Алгебра ";"учебник № 26.9(1-4), 26.10(3,5,7,9), готовиться к самостоятельной работе"
"Информатика ";"делать программы далее по плану"
"Инф. технологии";"не задано"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" пар 26 9(5-9), 10(10-15)"
"Биология ";" готовиться к диктанту по 21-27 параграфам"
"Укр. язык";"не задано"
"Геометрия ";"Литвиненко № 619а,б"
"Физический практикум";"готовиться к выполнению работ (первая группа)сдача работ у 2й??"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Алгебра ";" "
"Художественная культура";"готовить доклады"
"Основы экономики";"не задано"
"Укр.лит. ";" "
"Защита Отечества";"не задано"
"Физика ";" "
"Английский ";" "
