"<span class=thead>Предмет</span>";"<span class=thead>Задание на </span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";""
"Русский ";""
"Химия ";""
"Английский ";""
"Алгебра ";""
"Геометрия ";""
"Физика";""
"Всемирная история";""
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";""
"Мировая литература";""
"Физика ";""
"История Украины";""
"Информатика (1)";""
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра";""
"География ";""
"Химия ";""
"Физика ";""
"Информатика (2)";""
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";""
"Защита Отечества";""
"Украинская литература";""
"Украинский";""
"Биология ";""
"Физика ";""
"Инф.технологии ";""
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";""
"Экономика";""
"Биология";""
"Худ.культура ";""
"Алгебра ";""
"Английский ";""
