"<span class=thead>Предмет</span>";"<span class=thead>Задание на 27-30 апреля 2015</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физика ";"Гельфгат №12.19, 12.21, 12.22, 12.25, 12.26"
"Экология ";" "
"Укр. лит.";"сдавать долги"
"Химия ";"готовиться к кр"
"Алгебра ";" "
"Геометрия ";" "
"Русский язык";"будет диктант"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Человек и мир";" "
"Всемирная История";" "
"Физкультура ";" "
"Химия ";" "
"Английский ";" "
"Мир.лит. ";" "
"Физика ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"не задано"
"История Украины";" "
"Алгебра ";" "
"Информатика ";"не задано"
"Инф. технологии";"делать задания далее по плану"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Укр. язык";" "
"Геометрия ";" "
"Физический практикум";"готовиться к выполнению работ"
