"<span class=thead>Предмет</span>";"<span class=thead>Задание на 15--19 декабря 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"Домашняя самостоятельная работа на двойных листочках"
"Геометрия ";"повторить формулы с векторами и их координатами"
"Укр. лит.";"написати твір на одну з тем:""Трагедія Половців за романом Ю.Яновського ""Вершники"" або ""Лютували шаблі, і коні бігали без вершників"""
"Химия ";"Ланцюжок  перетворень, записаний у класі+Березан №25.2, 25.3"
"Физика ";" Гельфгат №6.36-6.40"
"Астрономия ";"готовить к сдаче рефераты, учить конспект"
"Русский ";"Подобрать предложения к каждому пункту, написать к ним схемы"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Всемирная история";" "
"Мировая литература";" "
"Физика ";" "
"Английский ";" "
"Химия ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";" "
"История Украины";" "
"Алгебра ";" "
"Инф. технологии";"не будет"
"Информатика ";"готовиться к контрольной работе"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";"готовиться к диктанту по всему пройденному материалу; сдать зеленые тетради"
"Укр. язык";"не задано"
"Геометрия ";" "
"Физический практикум";"готовиться к сдаче лабораторных работ (2 группа)"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";"готовиться к контрольной работе"
"Укр.лит. ";" "
"Защита Отечества";" "
"Английский ";" "
