"<span class=thead>Предмет</span>";"<span class=thead>Задание на 23-27 сентября</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум	 ";"ВНЕЗАПНО его быть не должно, но ДЗ нет в любом случае"
"Право	 ";"параграф 2"
"Химия	 ";"Березан № 14.17, 14.46 (задачники Березан и Хомченко лучше скачайте на будущее)"
"Английский	 ";"SBP. 74, 119 do all;<br />WBP. 84-85 recollect, 86-87 do"
"Физика	 ";"конспект; Мякишев параграф 14, там же упр.3 (с. 43-44) №1,4,8,9,13"
"Алгебра	 ";"Галицкий (листок, глава 11 и единственная) №27, 31, 37(а,в), 38(а,в), 40, 45(а,в) "
"Геометрия	 ";"учебник № 33-35"
"Русский	 ";"ничего??? "
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинский	 ";"  "
"Мировая литература	";"таблица в тетради"
"Физика	 ";"  "
"История Украины	";"параграф 2,3;выписать полит.партии и полит.организации,которые были созданы на запад.укр"
"Всемирная история	";"цели и задачи стран Четвертного союза и Антанты(таблица)"
"Информатика (1)	";"  "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра	 ";"  "
"География	 ";"параграф 7"
"Химия	 ";"  "
"Физика	 ";"  "
"Информатика (2)	";"  "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия	 ";" "
"Допризывная подг. юношей";"снова-таки усваивать конспект"
"Воен.-мед. подготовка";"то же"
"Укр. лит.";"читать ""Кайдашева сім'я"", в учебнике с. 10-23"
"Биология	 ";"  "
"Физика	 ";"  "
"Инф.технологии	 ";"  "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра	 ";"  "
"Биология	 ";"  "
"Экономика	 ";"  "
"География	 ";"  "
"Алгебра	 ";"  "
"Английский	 ";"  "
