<span class=thead>Предмет</span>;<span class=thead>Задание на 30 марта-3 апреля 2015</span>
<span class=ttl1>ПОНЕДЕЛЬНИК</span>;<hr />
Физика ; Гельфгат-11 №10.22,10.23,10.27,10.31,10.35,Сборник ЗНО №16В1-16В11,Подготовиться к контрольной работе
Экология ; до конца марта сдать работу, в которой охарактеризовать виды охраняемых территорий в Украине (заказник, заповедник, национальный парк), 10 видов растений и животных и 5 видов насекомых из Красной книги
Укр. лит.;сдавати вірші
Химия ; не задано(была кр)
Алгебра ; не задано
Геометрия ; не задано
Русский язык; разобрать предложения,записанные в классе
<span class=ttl1>ВТОРНИК</span>;<hr />
Геометрия ; не задано
Физкультура ;не задано
Химия ; §28
Английский ;"SBp. 67 text ""Sonya Thomas"" retell"
Мир.лит. ;"прочитать Бертольд Брехт ""Жизнь Галилея"""
Физика ; не задано(была кр)
<span class=ttl1>СРЕДА</span>;<hr />
Биология ;до конца марта сдать работу, в которой охарактеризовать виды охраняемых территорий в Украине (заказник, заповедник, национальный парк), 10 видов растений и животных и 5 видов насекомых из Красной книги
История Украины; 
Геометрия ; 
Информатика ;делать программы далее по плану
Инф. технологии;не задано
<span class=ttl1>ЧЕТВЕРГ</span>;<hr />
Физика ; 
Алгебра ; 
Биология ; 
Укр. язык; 
Геометрия ; 
Физический практикум;готовиться к сдаче работ (первая группа)
<span class=ttl1>ПЯТНИЦА</span>;<hr />
Алгебра ; 
Художественная культура;готовить доклады
Основы экономики; 
Укр.лит. ; 
Защита Отечества;читать конспект
Физика ; 
Английский ; 
