"<span class=thead>Предмет</span>";"<span class=thead>Задание на 16-20 декабря</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";""
"Право ";" "
"Химия ";" "
"Укр. лит.";" "
"Физика ";" "
"Алгебра ";" "
"Геометрия ";" "
"Мировая литература";"кому надо, готовят доклады по "
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Укр. яз.";"будет письменный пересказ - нам читают, мы пишем дома"
"Русский ";" "
"Физика ";" "
"История Украины";" "
"Всемирная история";" "
"Информатика (1)";"отдохновенье тем, кто вовремя сдает"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";" "
"География ";"традиционно готовить презентации"
"Химия ";" "
"Физика ";" "
"Информатика (2)";"кто вовремя делает усие, может спокойно жить"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" "
"Укр. лит.";" "
"Биология ";"будут подводиться итоги ужо"
"Физика ";" "
"Инф.технологии ";"практику сдать надобно"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";" "
"Биология ";" "
"Экономика ";"не задано"
"География ";""
"Алгебра ";" "
"Английский ";" "
