"<span class=thead>Предмет</span>";"<span class=thead>Задание на 26-30 января 2015</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физика ";"Гельфгат № 8.22, 8.23, 8.31-8.35"
"Экология ";"§ 1-3"
"Укр. лит.";"писати біографію Багряного, читати ""Тигролови"""
"Химия ";"§20 читать, записать в конспект реакции самогоноварения (с. 140), №172-179"
"Алгебра ";"ДСР на двойных листочках"
"Геометрия ";"с. 55 и 57 списать опорные задачи; доказать ТТП векторным способом"
"Русский ";"готовиться к самостоятельной работе по сложноподчиненным предложениям с несколькими придаточными; сделать схему, расставить знаки препинания, определить вид подчинения в предложениях, записанных в классе"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Человек и мир";" Выписать термины антропогенез,антропосоциогенез,философия,онтология,гнисиология,мифиология,религия;читать §1"
"Всемирная История";" Конспектировать общая характеристика ФРГ по плану записанному в классе"
"Физкультура ";"не задано"
"Химия ";" §21 №182;Вспомнить и записать в конспект реакцию Вагнера"
"Английский ";" словарь на странице 56 St.B., + ex3, Wb. p. 57"
"Мир.лит. ";"реферат про какого-то из поэтов Серебрянного века (досдать до конца февраля);готовить презентации(кому задано)"
"Физика ";"конспект;Гельфгат-11 №8.42,8.43,8.45-8.47"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"Реферат ""Основные направления современной биотехнологии, трансгенные и химерные организмы"" написать до 16 февраля"
"История Украины";" Хронологическая таблица I и II этапа перейстройки(которые были записаны в классе)"
"Алгебра ";" сборник Литвиненко №751(а,б),763(а,б)-766(а,б)"
"Инф. технологии";"делать программы далее по плану"
"Информатика ";"не задано"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";"Реферат ""Основные направления современной биотехнологии, трансгенные и химерные организмы"" написать до 16 февраля;досдать реферат на тему:""Мутагенные факторы"""
"Укр. язык";" "
"Геометрия ";" "
"Физический практикум";"не будет"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Художественная культура";" "
"Основы экономики";" "
"Укр.лит. ";" "
"Защита Отечества";"не задано"
"Английский ";" "
