"<span class=thead>Предмет</span>";"<span class=thead>Задание на 5-8 мая 2015</span>"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Человек и мир";" "
"Всемирная История";" "
"Физкультура ";" "
"Химия ";"290(б,в), 294, 295 "
"Английский ";" "
"Мир.лит. ";"читать ""Сто лет одиночества"""
"Физика ";"Сборник ДПА Раздел 17 №д1,д2, д17, в11, в12,в19 "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";" "
"История Украины";" "
"Алгебра ";" "
"Информатика ";" "
"Инф. технологии";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Украинский язык";" "
"Геометрия ";" "
"Физический практикум";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Алгебра ";" "
"Художественная культура";" "
"Основы экономики";" "
"Укр.лит. ";" "
"Защита Отечества";" "
"Физика ";" "
"Английский ";" "
