"<span class=thead>Предмет</span>";"<span class=thead>Задание на 9-13 сентября</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr> "
"Физ.практикум	 ";"пока всего лишь урок физики"
"Право	 ";"нет "
"Химия	 ";" "
"Английский	 ";"SBP. 76-77; WBP. 82-83"
"Физика	 ";"гельфгат 3.21, Рімкеви №475, 476, 485, 486"
"Алгебра	 ";"Лесенки 3 вар № 70-76(нечетные)"
"Геометрия	 ";"Мерзляк (""лесенки"") с. 66 № 60,61,67,77"
"Русский	 ";"перевести пословицы"
"<span class=ttl1>ВТОРНИК</span>";"<hr> "
"Украинский	 ";"нет "
"Мировая литература	";"читать ""Гобсек"", готовить презентации по биографии Бальзака, кому надо."
"Физика	 ";"Мякишев пар 7,8, упр 1 на стр 23 №8-12"
"История Украины	";"читать параграфы 1-3, выписать определение термина ""индустриальное общество"""
"Всемирная история	";"читать параграфы 1,2, написать предпосылки для Первой мировой войны"
"Информатика (1)	";"готовиться по теории, делать задания, кто не успевает"
"<span class=ttl1>СРЕДА</span>";"<hr> "
"Алгебра	 ";"Мерзляк с. 82 № 53,54,60,61,44"
"География	 ";"10 предложений по каждому этапу формирования политической карты мира по материалам пар. 3"
"Химия	 ";"не задано"
"Физика	 ";"Мякишев пап 9-11, Рымкевич №474-479"
"Информатика (2)	";"готовиться по теории, делать задания, кто не успевает"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr> "
"Геометрия	 ";"Мерзляк вариант 3 № 33, 34, 36, 45"
"Защита Отечества	";"решить вопрос со взводным командиром и его заместителями"
"Воен.-мед.	 ";"учить конспект, будет опрос"
"Укр. лит.";"нет "
"Биология	 ";"параграф 1 конспектировать"
"Физика	 ";"Кирик с. 10 № 5с, 2,6д, 4в; Гельфгат № 3.21"
"Инф.технологии	 ";"нет "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr> "
"Физ-ра	 ";"тренировать перемещения с ракеткой"
"Биология	 ";"    "
"Экономика	 ";"делать конспект <a href='https://www.dropbox.com/s/yfylomvg46agxmg/teoria.doc'>по материалам</a>"
"География	 ";"сделать и продемонстрировать прошлое ДЗ, а также читать пар. 4"
"Алгебра	 ";"    "
"Английский	 ";"нет "
