"<span class=thead>Предмет</span>";"<span class=thead>Задание на 19-23 мая</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";" Пока что ничего"
"Русский ";" "
"Химия ";" "
"Английский ";" "
"Алгебра ";" "
"Геометрия ";" Ничего не задано(была КР)"
"Физика ";" Конспект;Mякишев $75-76;Гельфгат №10.29,11.8,11.12,11.15 "
"Всемирная история";" Законспектировать ""Меморандум Танако"",хронологическую таблицу на тему:""Экспансия Японии"""
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";" "
"Мировая литература";" "
"Физика ";" "
"История Украины";" "
"Информатика (1)";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";" "
"География ";" "
"Химия ";" "
"Физика ";" "
"Информатика (2)";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" "
"Защита Отечества";" "
"Украинская литература";" "
"Украинский ";" "
"Биология ";"писать реферат на тему:""Возникновение жизни на Земле""(не всем)"
"Физика ";" "
"Инф.технологии ";"Делать JavaScript"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";" "
"Экономика ";" "
"Биология ";" "
"Худ.культура ";" Готовить доклады далее по плану"
"Алгебра ";" "
"Английский ";" "
